CANAL,MARCA,YTD 21 cajas,YTD 20 cajas,YTD 21 pesos,YTD 20 pesos
TRADICIONAL ARCA CONTINENTAL,AGUA MINERAL NATURAL,6057.6,5795,678481.4,604197.1
TRADICIONAL ARCA CONTINENTAL,CIEL MINERALIZADA,227.4,322.6,25572.2,31175.1
TRADICIONAL ARCA CONTINENTAL,TOPOCHICO,3445.1,3336.4,441298.8,394081.5
TRADICIONAL ARCA CONTINENTAL,PENAFIEL,2005.5,1740.9,166490.6,135026.2
TRADICIONAL ARCA CONTINENTAL,AGUA DE LOURDES,299,327.5,39145.8,38926.7
GCA ARCA CONTINENTAL,AGUA MINERAL NATURAL,1589.9,1724.5,146053.9,136735.5
GCA ARCA CONTINENTAL,CIEL MINERALIZADA,34.8,32.7,2119.5,2046.1
GCA ARCA CONTINENTAL,TOPOCHICO,771.1,818.3,81974.5,76465.9
GCA ARCA CONTINENTAL,PENAFIEL,709.1,800.9,48107.7,45854.6
GCA ARCA CONTINENTAL,AGUA DE LOURDES,38.7,42,3610.4,3735.5
PROXIMIDAD ARCA CONTINENTAL,AGUA MINERAL NATURAL,3499.4,4511,331973.6,389491.2
PROXIMIDAD ARCA CONTINENTAL,CIEL MINERALIZADA,54.5,78.3,3983.7,5353.9
PROXIMIDAD ARCA CONTINENTAL,TOPOCHICO,1908.1,2630.9,217171,265600.3
PROXIMIDAD ARCA CONTINENTAL,PENAFIEL,1430.8,1669.7,101149.3,106394.7
PROXIMIDAD ARCA CONTINENTAL,AGUA DE LOURDES,92.4,119.8,8542.5,10808.6
TRADICIONAL ARCA ZONA NORTE,AGUA MINERAL NATURAL,1092.2,1049.5,134523.7,117291
TRADICIONAL ARCA ZONA NORTE,CIEL MINERALIZADA,31.7,76.5,3753.3,7401.1
TRADICIONAL ARCA ZONA NORTE,TOPOCHICO,976.7,892,123424.4,102762.2
TRADICIONAL ARCA ZONA NORTE,PENAFIEL,79.8,73.7,6946,6563.8
TRADICIONAL ARCA ZONA NORTE,AGUA DE LOURDES,0.5,NA,64.1,NA
MODERNO ARCA ZONA NORTE,AGUA MINERAL NATURAL,1170.9,1274.2,106379.9,104542.2
MODERNO ARCA ZONA NORTE,CIEL MINERALIZADA,27.5,32.1,1984.9,2235.4
MODERNO ARCA ZONA NORTE,TOPOCHICO,630,692.1,69102.2,68367.6
MODERNO ARCA ZONA NORTE,PENAFIEL,509.9,546.9,34198.6,33010.3
TRADICIONAL NORESTE,AGUA MINERAL NATURAL,404.7,423.3,49382.8,48493
TRADICIONAL NORESTE,CIEL MINERALIZADA,1.3,0.9,95.1,56.8
TRADICIONAL NORESTE,TOPOCHICO,365.7,370,45795.9,43706.1
TRADICIONAL NORESTE,PENAFIEL,37.8,52.5,3491.8,4730.2
GCA ARCA ZONA NORESTE,AGUA MINERAL NATURAL,458.7,540,46299,46773.1
GCA ARCA ZONA NORESTE,TOPOCHICO,318.2,371.2,35218,35408.1
GCA ARCA ZONA NORESTE,PENAFIEL,134.4,162.9,8814.1,9388.4
PROXIMIDAD ARCA ZONA NORESTE,AGUA MINERAL NATURAL,1093.3,1816.4,113504.8,166178.3
PROXIMIDAD ARCA ZONA NORESTE,CIEL MINERALIZADA,0.6,0.7,53.5,70.5
PROXIMIDAD ARCA ZONA NORESTE,TOPOCHICO,827,1397.1,94553,139740.7
PROXIMIDAD ARCA ZONA NORESTE,PENAFIEL,262.9,414.9,18572.6,25899.9
PROXIMIDAD ARCA ZONA NORESTE,AGUA DE LOURDES,2.5,3.2,219,272.6
TRADICIONAL ARCA ZONA OCCIDENTE,AGUA MINERAL NATURAL,3631,3349.3,371363.6,316933.2
TRADICIONAL ARCA ZONA OCCIDENTE,CIEL MINERALIZADA,194.2,244.9,21604.1,23600.7
TRADICIONAL ARCA ZONA OCCIDENTE,TOPOCHICO,1228.8,1135.9,154437.3,129037.6
TRADICIONAL ARCA ZONA OCCIDENTE,PENAFIEL,1833.6,1582.5,150736.5,121147.3
TRADICIONAL ARCA ZONA OCCIDENTE,AGUA DE LOURDES,298.4,327.5,39074.9,38925.2
GCA ARCA ZONA OCCIDENTE,AGUA MINERAL NATURAL,557.3,586,48042.2,43305.5
GCA ARCA ZONA OCCIDENTE,CIEL MINERALIZADA,26,24.5,1550.4,1515.5
GCA ARCA ZONA OCCIDENTE,TOPOCHICO,173.7,174.9,17638.9,15747.3
GCA ARCA ZONA OCCIDENTE,PENAFIEL,298.7,327.8,20552.5,18257.2
GCA ARCA ZONA OCCIDENTE,AGUA DE LOURDES,38.6,41.9,3596.3,3722.6
PROXIMIDAD ARCA ZONA OCCIDENTE,AGUA MINERAL NATURAL,1069.1,1201.4,90878.6,93389.6
PROXIMIDAD ARCA ZONA OCCIDENTE,CIEL MINERALIZADA,33.8,51.6,2374.3,3403.4
PROXIMIDAD ARCA ZONA OCCIDENTE,TOPOCHICO,313.8,349.8,35262.4,35804.5
PROXIMIDAD ARCA ZONA OCCIDENTE,PENAFIEL,619.4,672.7,44117.9,42868.2
PROXIMIDAD ARCA ZONA OCCIDENTE,AGUA DE LOURDES,89.9,116.7,8323.5,10536
TRADICIONAL ARCA ZONA PACIFICO,AGUA MINERAL NATURAL,395.6,310.9,51592.6,39338.7
TRADICIONAL ARCA ZONA PACIFICO,CIEL MINERALIZADA,1.4,1.2,208.9,173.4
TRADICIONAL ARCA ZONA PACIFICO,TOPOCHICO,348.4,277.4,46816.4,35937.9
TRADICIONAL ARCA ZONA PACIFICO,PENAFIEL,45,31.9,4486.1,3188.5
MODERNO ARCA ZONA PACIFICO,AGUA MINERAL NATURAL,740,817.5,72923,72038
MODERNO ARCA ZONA PACIFICO,CIEL MINERALIZADA,1.5,2,140,175
MODERNO ARCA ZONA PACIFICO,TOPOCHICO,416.4,464.1,47370.9,46998.1
MODERNO ARCA ZONA PACIFICO,PENAFIEL,314.6,345.5,23001.2,22825.3
MODERNO ARCA ZONA PACIFICO,AGUA DE LOURDES,0.1,0.1,14,13
